order_id,customer_id,product_id,quantity,order_date,order_status
O1001,C101,P001,1,2026-08-10,Delivered
O1002,C102,P003,2,2026-08-15,Shipped
O1003,C103,P002,1,2026-08-20,Processing
O1004,C153,P069,1,2026-04-01,Processing
O1005,C106,P086,4,2026-05-08,Shipped
O1006,C119,P003,3,2026-06-15,Delivered
O1007,C132,P020,2,2026-07-22,Returned
O1008,C145,P037,1,2026-08-01,Cancelled
O1009,C158,P054,4,2026-01-08,Confirmed
O1010,C111,P071,3,2026-02-15,Processing
O1011,C124,P088,2,2026-03-22,Shipped
O1012,C137,P005,1,2026-04-01,Delivered
O1013,C150,P022,4,2026-05-08,Returned
O1014,C103,P039,3,2026-06-15,Cancelled
O1015,C116,P056,2,2026-07-22,Confirmed
O1016,C129,P073,1,2026-08-01,Processing
O1017,C142,P090,4,2026-01-08,Shipped
O1018,C155,P007,3,2026-02-15,Delivered
O1019,C108,P024,2,2026-03-22,Returned
O1020,C121,P041,1,2026-04-01,Cancelled
O1021,C134,P058,4,2026-05-08,Confirmed
O1022,C147,P075,3,2026-06-15,Processing
O1023,C160,P092,2,2026-07-22,Shipped
O1024,C113,P009,1,2026-08-01,Delivered
O1025,C126,P026,4,2026-01-08,Returned
O1026,C139,P043,3,2026-02-15,Cancelled
O1027,C152,P060,2,2026-03-22,Confirmed
O1028,C105,P077,1,2026-04-01,Processing
O1029,C118,P094,4,2026-05-08,Shipped
O1030,C131,P011,3,2026-06-15,Delivered
O1031,C144,P028,2,2026-07-22,Returned
O1032,C157,P045,1,2026-08-01,Cancelled
O1033,C110,P062,4,2026-01-08,Confirmed
O1034,C123,P079,3,2026-02-15,Processing
O1035,C136,P096,2,2026-03-22,Shipped
O1036,C149,P013,1,2026-04-01,Delivered
O1037,C102,P030,4,2026-05-08,Returned
O1038,C115,P047,3,2026-06-15,Cancelled
O1039,C128,P064,2,2026-07-22,Confirmed
O1040,C141,P081,1,2026-08-01,Processing
O1041,C154,P098,4,2026-01-08,Shipped
O1042,C107,P015,3,2026-02-15,Delivered
O1043,C120,P032,2,2026-03-22,Returned
O1044,C133,P049,1,2026-04-01,Cancelled
O1045,C146,P066,4,2026-05-08,Confirmed
O1046,C159,P083,3,2026-06-15,Processing
O1047,C112,P100,2,2026-07-22,Shipped
O1048,C125,P017,1,2026-08-01,Delivered
O1049,C138,P034,4,2026-01-08,Returned
O1050,C151,P051,3,2026-02-15,Cancelled
O1051,C104,P068,2,2026-03-22,Confirmed
O1052,C117,P085,1,2026-04-01,Processing
O1053,C130,P002,4,2026-05-08,Shipped
O1054,C143,P019,3,2026-06-15,Delivered
O1055,C156,P036,2,2026-07-22,Returned
O1056,C109,P053,1,2026-08-01,Cancelled
O1057,C122,P070,4,2026-01-08,Confirmed
O1058,C135,P087,3,2026-02-15,Processing
O1059,C148,P004,2,2026-03-22,Shipped
O1060,C101,P021,1,2026-04-01,Delivered
O1061,C114,P038,4,2026-05-08,Returned
O1062,C127,P055,3,2026-06-15,Cancelled
O1063,C140,P072,2,2026-07-22,Confirmed
O1064,C153,P089,1,2026-08-01,Processing
O1065,C106,P006,4,2026-01-08,Shipped
O1066,C119,P023,3,2026-02-15,Delivered
O1067,C132,P040,2,2026-03-22,Returned
O1068,C145,P057,1,2026-04-01,Cancelled
O1069,C158,P074,4,2026-05-08,Confirmed
O1070,C111,P091,3,2026-06-15,Processing
O1071,C124,P008,2,2026-07-22,Shipped
O1072,C137,P025,1,2026-08-01,Delivered
O1073,C150,P042,4,2026-01-08,Returned
O1074,C103,P059,3,2026-02-15,Cancelled
O1075,C116,P076,2,2026-03-22,Confirmed
O1076,C129,P093,1,2026-04-01,Processing
O1077,C142,P010,4,2026-05-08,Shipped
O1078,C155,P027,3,2026-06-15,Delivered
O1079,C108,P044,2,2026-07-22,Returned
O1080,C121,P061,1,2026-08-01,Cancelled
O1081,C134,P078,4,2026-01-08,Confirmed
O1082,C147,P095,3,2026-02-15,Processing
O1083,C160,P012,2,2026-03-22,Shipped
O1084,C113,P029,1,2026-04-01,Delivered
O1085,C126,P046,4,2026-05-08,Returned
O1086,C139,P063,3,2026-06-15,Cancelled
O1087,C152,P080,2,2026-07-22,Confirmed
O1088,C105,P097,1,2026-08-01,Processing
O1089,C118,P014,4,2026-01-08,Shipped
O1090,C131,P031,3,2026-02-15,Delivered
O1091,C144,P048,2,2026-03-22,Returned
O1092,C157,P065,1,2026-04-01,Cancelled
O1093,C110,P082,4,2026-05-08,Confirmed
O1094,C123,P099,3,2026-06-15,Processing
O1095,C136,P016,2,2026-07-22,Shipped
O1096,C149,P033,1,2026-08-01,Delivered
O1097,C102,P050,4,2026-01-08,Returned
O1098,C115,P067,3,2026-02-15,Cancelled
O1099,C128,P084,2,2026-03-22,Confirmed
O1100,C141,P001,1,2026-04-01,Processing
